,Fecha Hora,Fecha Hora(RAW),Tiempo de carga en mseg,Tiempo de carga(RAW),Porcentaje de tiempo de inactividad,Tiempo de inactividad(RAW),Porcentaje de cobertura,Cobertura(RAW)
223,23-06-2023 7:00:00 - 8:00:00,45100.5,NULL,NULL,100 ,100.0,100 ,10000.0
224,23-06-2023 8:00:00 - 9:00:00,45100.5416666667,NULL,NULL,100 ,100.0,100 ,10000.0
225,23-06-2023 9:00:00 - 10:00:00,45100.5833333333,NULL,NULL,100 ,100.0,100 ,10000.0
226,23-06-2023 10:00:00 - 11:00:00,45100.625,NULL,NULL,100 ,100.0,100 ,10000.0
227,23-06-2023 11:00:00 - 12:00:00,45100.6666666667,NULL,NULL,100 ,100.0,100 ,10000.0
228,23-06-2023 12:00:00 - 13:00:00,45100.7083333333,NULL,NULL,100 ,100.0,100 ,10000.0
229,23-06-2023 13:00:00 - 14:00:00,45100.75,NULL,NULL,100 ,100.0,100 ,10000.0
230,23-06-2023 14:00:00 - 15:00:00,45100.7916666667,NULL,NULL,100 ,100.0,100 ,10000.0
231,23-06-2023 15:00:00 - 16:00:00,45100.8333333333,NULL,NULL,100 ,100.0,100 ,10000.0
232,23-06-2023 16:00:00 - 17:00:00,45100.875,NULL,NULL,100 ,100.0,100 ,10000.0
233,23-06-2023 17:00:00 - 18:00:00,45100.9166666667,NULL,NULL,100 ,100.0,100 ,10000.0
234,23-06-2023 18:00:00 - 19:00:00,45100.9583333333,NULL,NULL,100 ,100.0,100 ,10000.0
235,23-06-2023 19:00:00 - 20:00:00,45101.0,873,872.7143,53 ,53.3,100 ,10000.0
236,23-06-2023 20:00:00 - 21:00:00,45101.0416666667,875,874.6,0 ,0.0,100 ,10000.0
237,23-06-2023 21:00:00 - 22:00:00,45101.0833333333,875,874.7333,0 ,0.0,100 ,10000.0
238,23-06-2023 22:00:00 - 23:00:00,45101.125,859,859.0667,0 ,0.0,100 ,10000.0
239,23-06-2023 23:00:00 - 0:00:00,45101.1666666667,877,876.5833,0 ,0.0,100 ,10000.0
240,24-06-2023 0:00:00 - 1:00:00,45101.2083333333,1.174,1174.4833,0 ,0.0,100 ,10000.0
241,24-06-2023 1:00:00 - 2:00:00,45101.25,899,898.6833,0 ,0.0,100 ,10000.0
242,24-06-2023 2:00:00 - 3:00:00,45101.2916666667,859,859.0833,0 ,0.0,100 ,10000.0
243,24-06-2023 3:00:00 - 4:00:00,45101.3333333333,844,844.35,0 ,0.0,100 ,10000.0
244,24-06-2023 4:00:00 - 5:00:00,45101.375,842,841.65,0 ,0.0,100 ,10000.0
245,24-06-2023 5:00:00 - 6:00:00,45101.4166666667,839,839.0833,0 ,0.0,100 ,10000.0
246,24-06-2023 6:00:00 - 7:00:00,45101.4583333333,840,839.8667,0 ,0.0,100 ,10000.0
247,24-06-2023 7:00:00 - 8:00:00,45101.5,840,840.1167,0 ,0.0,100 ,10000.0
